OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O2,1450000,453000,36,32,SUZUKI,LUNAS
O3,1975200,621000,24,32,KAWASAKI,LUNAS
O3,1637750,485000,35,41,SUZUKI,LUNAS
O3,2567500,625000,18,44,SUZUKI,LUNAS
O3,2420000,670000,18,47,HONDA,LUNAS
O3,2240000,433000,29,40,SUZUKI,LUNAS
O2,1390000,466000,36,29,KAWASAKI,LUNAS
O3,1530000,507000,35,51,KAWASAKI,LUNAS
O3,1148000,386000,35,50,SUZUKI,LUNAS
O2,1525000,507000,35,53,KAWASAKI,LUNAS
O2,2150300,650000,23,52,KAWASAKI,LUNAS
O3,3640000,1171000,12,54,SUZUKI,LUNAS
O3,3290000,391000,36,45,SUZUKI,LUNAS
O2,6333570,370000,36,34,SUZUKI,LUNAS
O3,1898800,595000,24,44,SUZUKI,LUNAS
O3,1516000,453000,36,48,SUZUKI,LUNAS
O1,1416500,507000,35,52,KAWASAKI,LUNAS
O3,1700000,370000,36,40,SUZUKI,LUNAS
O2,1585000,489000,35,37,KAWASAKI,LUNAS
O2,3536100,476000,35,55,SUZUKI,LUNAS
O3,1593750,487000,36,53,HONDA,LUNAS
O3,2068500,587000,18,50,SUZUKI,LUNAS
O2,1661200,459000,12,56,HONDA,LUNAS
O3,2162225,627000,24,48,HONDA,LUNAS
O3,4081840,490000,36,58,YAMAHA,LUNAS
O2,1810500,594000,18,43,HONDA,LUNAS
O3,4136000,504000,23,49,SUZUKI,LUNAS
O2,1505360,481000,35,36,SUZUKI,LUNAS
O2,1611200,519000,36,53,SUZUKI,LUNAS
O3,1583000,388000,35,38,SUZUKI,LUNAS
O3,1511000,507000,35,47,KAWASAKI,LUNAS
O3,1970360,409000,36,29,SUZUKI,LUNAS
O3,1822000,430000,24,35,SUZUKI,LUNAS
O3,1862480,492000,36,49,HONDA,LUNAS
O3,3125000,802000,17,41,SUZUKI,LUNAS
O2,1360600,467000,36,37,YAMAHA,LUNAS
O3,1716000,341000,24,55,SUZUKI,LUNAS
O3,2200000,492000,24,49,SUZUKI,LUNAS
O2,1673000,494000,30,31,SUZUKI,LUNAS
O3,1800000,547000,24,43,HONDA,LUNAS
O3,1150000,435000,29,61,SUZUKI,LUNAS
O3,4200000,1126000,11,41,HONDA,LUNAS
O2,800000,353000,24,34,SUZUKI,LUNAS
O2,1655500,809000,17,35,SUZUKI,LUNAS
O3,1720000,392000,35,34,SUZUKI,LUNAS
O3,1630000,357000,36,45,SUZUKI,LUNAS
O3,840000,452000,36,39,KAWASAKI,LUNAS
O3,2423000,489000,35,42,SUZUKI,LUNAS
O2,6250000,493000,35,34,KAWASAKI,LUNAS
O3,1378700,452000,36,41,KAWASAKI,LUNAS
O2,1235500,382000,36,33,SUZUKI,LUNAS
O2,2100000,406000,36,38,KAWASAKI,LUNAS
O3,1641000,502000,35,39,KAWASAKI,TARIKAN
O3,2049000,507000,35,39,KAWASAKI,TARIKAN
O2,1661650,550000,24,40,SUZUKI,LUNAS
O2,1550000,485000,35,31,SUZUKI,LUNAS
O3,2090640,507000,35,50,KAWASAKI,LUNAS
O3,777600,370000,36,28,SUZUKI,LUNAS
O3,1911300,500000,35,40,SUZUKI,LUNAS
O2,907500,383000,35,30,SUZUKI,LUNAS
O3,1932400,436000,36,41,SUZUKI,LUNAS
O3,1436000,383000,35,54,SUZUKI,LUNAS
O3,1760000,386000,35,34,SUZUKI,TARIKAN
O2,1258800,409000,36,49,SUZUKI,LUNAS
O3,1825960,392000,35,46,SUZUKI,LUNAS
O3,1310000,370000,36,43,SUZUKI,LUNAS
O3,1227200,382000,36,42,KAWASAKI,LUNAS
O3,1841000,435000,36,37,HONDA,LUNAS
O3,1850000,490000,36,54,SUZUKI,LUNAS
O3,1168000,313000,36,56,YAMAHA,LUNAS
O2,1395250,452000,36,35,KAWASAKI,LUNAS
O2,730860,246000,24,30,SUZUKI,LUNAS
O2,937680,259000,36,39,SUZUKI,LUNAS
O3,1240400,386000,36,58,SUZUKI,LUNAS
O3,1126280,367000,36,46,SUZUKI,LUNAS
O3,1105560,308000,36,28,SUZUKI,LUNAS
O2,1142744,539000,29,39,SUZUKI,LUNAS
O3,1338000,431000,36,23,SUZUKI,LUNAS
O3,1166750,331000,36,43,HONDA,LUNAS
O3,1403600,334000,36,40,SUZUKI,LUNAS
O3,2150000,485000,35,43,SUZUKI,LUNAS
O3,1191600,303000,36,43,SUZUKI,LUNAS
O2,1936745,400000,36,50,SUZUKI,LUNAS
O2,2226050,518000,35,39,SUZUKI,LUNAS
O3,1370000,439000,30,29,SUZUKI,LUNAS
O2,1400000,367000,36,53,SUZUKI,LUNAS
O3,1470900,485000,35,32,SUZUKI,TARIKAN
O3,1564960,435000,36,46,HONDA,LUNAS
O3,2065800,421000,36,49,HONDA,LUNAS
O3,1850000,369000,36,37,SUZUKI,LUNAS
O2,1150000,374000,36,37,SUZUKI,LUNAS
O3,1334580,439000,24,26,KAWASAKI,LUNAS
O3,1723360,517000,35,55,HONDA,LUNAS
O3,1824000,473000,36,31,SUZUKI,LUNAS
O2,1394080,361000,36,48,SUZUKI,LUNAS
O3,1797200,513000,36,58,HONDA,LUNAS
O3,2552000,442000,36,38,SUZUKI,LUNAS
O3,1390000,363000,36,35,SUZUKI,LUNAS
O2,1153947,385000,18,27,SUZUKI,LUNAS
O2,1505000,462000,36,24,SUZUKI,LUNAS
O3,2978220,779000,17,58,SUZUKI,LUNAS
O3,1648800,453000,36,43,HONDA,LUNAS
O3,1417600,390000,30,56,SUZUKI,LUNAS
O2,1388310,383000,35,27,SUZUKI,LUNAS
O3,4545000,444000,30,56,SUZUKI,LUNAS
O3,2440000,388000,35,41,SUZUKI,LUNAS
O3,1544000,257000,30,46,HONDA,LUNAS
O3,1616000,498000,35,46,KAWASAKI,LUNAS
O2,1560240,504000,23,54,SUZUKI,LUNAS
O2,1338700,408000,36,45,SUZUKI,LUNAS
O2,1593662,453000,36,32,SUZUKI,LUNAS
O2,1150000,379000,35,24,SUZUKI,LUNAS
O3,1500000,485000,35,54,SUZUKI,TARIKAN
O3,1429000,362000,36,57,SUZUKI,LUNAS
O2,1263882,427000,36,36,SUZUKI,LUNAS
O1,1779800,392000,35,58,SUZUKI,TARIKAN
O2,845000,392000,35,30,SUZUKI,LUNAS
O3,2600000,779000,17,33,SUZUKI,LUNAS
O3,1200000,392000,35,30,SUZUKI,TARIKAN
O2,2043450,684000,18,36,SUZUKI,LUNAS
O3,1481500,485000,35,50,SUZUKI,LUNAS
O3,1708000,502000,35,44,KAWASAKI,TARIKAN
O2,1550000,507000,35,42,KAWASAKI,LUNAS
O3,2325400,489000,36,45,HONDA,LUNAS
O3,1966800,620000,29,52,HONDA,LUNAS
O3,1052000,486000,24,43,HONDA,LUNAS
O3,3071000,389000,35,41,SUZUKI,LUNAS
O4,6217800,517000,35,52,SUZUKI,LUNAS
O3,3412800,428000,29,52,SUZUKI,LUNAS
O2,3850000,357000,36,52,SUZUKI,LUNAS
O3,1133800,367000,36,42,SUZUKI,TARIKAN
O3,2860000,447000,36,53,HONDA,LUNAS
O1,1406600,485000,35,49,SUZUKI,LUNAS
O3,1756400,586000,12,52,HONDA,LUNAS
O2,1387400,371000,24,42,SUZUKI,LUNAS
O2,1156000,392000,35,43,SUZUKI,LUNAS
O3,1409166,448000,24,57,SUZUKI,LUNAS
O2,2535500,624000,23,35,SUZUKI,LUNAS
O2,1326500,388000,35,30,SUZUKI,LUNAS
O2,1303853,649000,23,35,HONDA,LUNAS
O2,1130532,340000,36,35,SUZUKI,LUNAS
O3,1450985,504000,36,53,HONDA,LUNAS
O3,2840000,383000,36,31,SUZUKI,LUNAS
O2,1118544,485000,35,31,SUZUKI,TARIKAN
O2,1700000,485000,35,43,SUZUKI,LUNAS
O3,2224000,753000,12,41,SUZUKI,LUNAS
O2,1775000,335000,36,45,SUZUKI,LUNAS
O3,1461600,381000,35,43,SUZUKI,LUNAS
O3,1403376,431000,36,47,SUZUKI,LUNAS
O2,1238060,384000,35,31,SUZUKI,LUNAS
O3,2370000,392000,35,48,SUZUKI,LUNAS
O2,1196046,408000,36,26,SUZUKI,LUNAS
O2,1635000,517000,24,27,SUZUKI,LUNAS
O2,1600000,488000,35,43,YAMAHA,LUNAS
O3,2082000,632000,23,39,KAWASAKI,TARIKAN
O2,1754389,450000,30,54,KAWASAKI,LUNAS
O2,1356034,450000,35,39,KAWASAKI,LUNAS
O3,1430705,377000,36,41,KAWASAKI,LUNAS
O2,1240000,392000,36,28,SUZUKI,LUNAS
O3,1993375,515000,30,45,HONDA,LUNAS
O3,1438000,454000,36,29,KAWASAKI,LUNAS
